market_category_id,market_id,category_id
0,1018261,0
1,1018261,1
2,1018261,2
3,1018261,3
4,1018261,4
5,1018261,5
6,1018261,7
7,1018261,8
8,1018261,9
9,1018261,10
10,1018261,11
11,1018261,12
12,1018261,16
13,1018261,17
14,1018261,18
15,1018261,19
16,1018261,21
17,1018261,22
18,1018261,23
19,1018261,26
20,1018261,27
21,1009994,0
22,1009994,1
23,1009994,2
24,1009994,3
25,1009994,4
26,1009994,5
27,1009994,7
28,1009994,8
29,1009994,9
30,1009994,10
31,1009994,12
32,1009994,15
33,1009994,16
34,1009994,17
35,1009994,21
36,1009994,22
37,1009994,23
38,1000709,0
39,1000709,1
40,1000709,2
41,1000709,3
42,1000709,4
43,1000709,5
44,1000709,7
45,1000709,8
46,1000709,9
47,1000709,10
48,1000709,14
49,1000709,15
50,1000709,18
51,1000709,23
52,1000709,25
53,1000709,29
54,1019956,0
55,1019956,1
56,1019956,3
57,1019956,5
58,1019956,7
59,1019956,8
60,1019956,9
61,1019956,10
62,1019956,14
63,1019956,17
64,1019956,18
65,1019956,23
66,1019956,25
67,1009959,0
68,1009959,1
69,1009959,2
70,1009959,3
71,1009959,4
72,1009959,5
73,1009959,7
74,1009959,8
75,1009959,9
76,1009959,10
77,1009959,11
78,1009959,12
79,1009959,14
80,1009959,15
81,1009959,16
82,1009959,17
83,1009959,18
84,1009959,21
85,1009959,22
86,1009959,23
87,1009959,24
88,1009959,25
89,1009959,26
90,1009959,27
91,1009959,29
92,1004950,0
93,1004950,1
94,1004950,2
95,1004950,3
96,1004950,4
97,1004950,5
98,1004950,7
99,1004950,8
100,1004950,9
101,1004950,10
102,1004950,11
103,1004950,12
104,1004950,15
105,1004950,16
106,1004950,17
107,1004950,18
108,1004950,19
109,1004950,21
110,1004950,22
111,1004950,23
112,1004950,27
113,1019938,1
114,1019938,2
115,1019938,3
116,1019938,4
117,1019938,5
118,1019938,7
119,1019938,8
120,1019938,9
121,1019938,10
122,1019938,11
123,1019938,12
124,1019938,15
125,1019938,16
126,1019938,18
127,1019938,19
128,1019938,23
129,1019938,26
130,1019938,29
131,1021607,3
132,1021607,7
133,1021607,9
134,1021607,12
135,1021607,14
136,1021607,18
137,1021607,21
138,1018965,1
139,1018965,2
140,1018965,4
141,1018965,5
142,1018965,6
143,1018965,7
144,1018965,8
145,1018965,9
146,1018965,10
147,1018965,11
148,1018965,14
149,1018965,17
150,1018965,18
151,1018965,21
152,1018965,23
153,1018965,25
154,1018965,26
155,1009004,1
156,1009004,2
157,1009004,4
158,1009004,5
159,1009004,7
160,1009004,8
161,1009004,9
162,1009004,10
163,1009004,17
164,1009004,18
165,1009004,23
166,1009004,26
167,1019473,1
168,1019473,3
169,1019473,4
170,1019473,5
171,1019473,6
172,1019473,8
173,1019473,9
174,1019473,10
175,1019473,15
176,1019473,17
177,1019473,18
178,1019473,19
179,1019473,20
180,1019473,21
181,1019473,23
182,1019473,25
183,1019473,27
184,1010487,0
185,1010487,1
186,1010487,2
187,1010487,3
188,1010487,4
189,1010487,5
190,1010487,7
191,1010487,8
192,1010487,9
193,1010487,10
194,1010487,11
195,1010487,12
196,1010487,14
197,1010487,15
198,1010487,16
199,1010487,17
200,1010487,18
201,1010487,20
202,1010487,21
203,1010487,22
204,1010487,23
205,1010487,25
206,1010487,26
207,1010487,27
208,1010487,29
209,1019695,1
210,1019695,2
211,1019695,3
212,1019695,4
213,1019695,5
214,1019695,8
215,1019695,9
216,1019695,10
217,1019695,12
218,1019695,15
219,1019695,16
220,1019695,17
221,1019695,18
222,1019695,19
223,1019695,21
224,1019695,23
225,1019695,24
226,1019695,25
227,1019695,26
228,1019695,29
229,1021442,1
230,1021442,4
231,1021442,5
232,1021442,7
233,1021442,8
234,1021442,9
235,1021442,10
236,1021442,11
237,1021442,12
238,1021442,16
239,1021442,18
240,1021442,19
241,1021442,21
242,1021442,23
243,1019676,0
244,1019676,1
245,1019676,2
246,1019676,4
247,1019676,5
248,1019676,7
249,1019676,8
250,1019676,9
251,1019676,10
252,1019676,11
253,1019676,12
254,1019676,16
255,1019676,17
256,1019676,18
257,1019676,20
258,1019676,21
259,1019676,23
260,1019676,27
261,1019351,1
262,1019351,2
263,1019351,4
264,1019351,5
265,1019351,7
266,1019351,8
267,1019351,9
268,1019351,10
269,1019351,11
270,1019351,16
271,1019351,17
272,1019351,20
273,1019351,21
274,1019351,23
275,1019351,26
276,1019847,1
277,1019847,2
278,1019847,4
